[2025-05-22T18:27:59.852Z] Starting Unified TypeScript Auto-Fix System
[2025-05-22T18:28:01.226Z] Found 233 TypeScript files to check
[2025-05-22T18:28:01.227Z] Processing batch 1 of 12
[2025-05-22T18:28:01.319Z] Processing batch 2 of 12
[2025-05-22T18:28:01.440Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\rapporten\page.tsx
[2025-05-22T18:28:01.456Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\reflecties\page.tsx
[2025-05-22T18:28:01.728Z] Processing batch 3 of 12
[2025-05-22T18:28:02.182Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\specialisten\page.tsx
[2025-05-22T18:28:02.269Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\taken\[taskId]\edit\page.tsx
[2025-05-22T18:28:02.333Z] Processing batch 4 of 12
[2025-05-22T18:28:02.830Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\admin\EditUserForm.tsx
[2025-05-22T18:28:04.113Z] Processing batch 5 of 12
[2025-05-22T18:28:04.205Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\common\ErrorBoundary.tsx
[2025-05-22T18:28:04.314Z] File may need manual review for JSX type assertions: C:\Users\nick\Desktop\FibroGuardian\components\common\LazyImage.tsx
[2025-05-22T18:28:04.381Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\common\LazyImage.tsx
[2025-05-22T18:28:04.857Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\dev\PerformanceDashboard.tsx
[2025-05-22T18:28:05.105Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\onboarding\GuidedTour.tsx
[2025-05-22T18:28:05.289Z] Processing batch 6 of 12
[2025-05-22T18:28:06.313Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\specialisten\CreateTaskAssignmentForm.tsx
[2025-05-22T18:28:06.631Z] Processing batch 7 of 12
[2025-05-22T18:28:06.651Z] File may need manual review for JSX type assertions: C:\Users\nick\Desktop\FibroGuardian\components\subscription\PricingTables.tsx
[2025-05-22T18:28:06.671Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\subscription\PricingTables.tsx
[2025-05-22T18:28:06.789Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\subscription\SubscriptionManagement.tsx
[2025-05-22T18:28:06.854Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\subscription\UpgradePrompt.tsx
[2025-05-22T18:28:06.919Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\subscription\withFeatureAccess.tsx
[2025-05-22T18:28:06.985Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\components\support\SupportWidget.tsx
[2025-05-22T18:28:07.153Z] Processing batch 8 of 12
[2025-05-22T18:28:07.271Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\performance\imageLazyOptimizer.tsx
[2025-05-22T18:28:07.276Z] Processing batch 9 of 12
[2025-05-22T18:28:07.340Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\api\ai-recommendations\route.ts
[2025-05-22T18:28:07.424Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\api\auth\callback\route.ts
[2025-05-22T18:28:07.456Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\api\auth\[...supabase]\route.ts
[2025-05-22T18:28:07.553Z] Processing batch 10 of 12
[2025-05-22T18:28:07.573Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\app\api\tasks\[id]\route.ts
[2025-05-22T18:28:07.620Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\hooks\useSupabaseQuery.ts
[2025-05-22T18:28:07.632Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\analytics\eventTracking.ts
[2025-05-22T18:28:07.642Z] File may need manual review for JSX type assertions: C:\Users\nick\Desktop\FibroGuardian\lib\analytics\userJourney.ts
[2025-05-22T18:28:07.647Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\analytics\userJourney.ts
[2025-05-22T18:28:07.664Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\feedback\feedbackCollector.ts
[2025-05-22T18:28:07.671Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\monitoring\logger.ts
[2025-05-22T18:28:07.687Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\monitoring\performance-metrics.ts
[2025-05-22T18:28:07.709Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\onboarding\onboardingEngine.ts
[2025-05-22T18:28:07.714Z] Processing batch 11 of 12
[2025-05-22T18:28:07.737Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\lib\supabase-server.ts
[2025-05-22T18:28:07.754Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\tests\task-logs.spec.ts
[2025-05-22T18:28:07.775Z] Processing batch 12 of 12
[2025-05-22T18:28:07.822Z] Fixed specific issues in C:\Users\nick\Desktop\FibroGuardian\utils\memoize.ts
[2025-05-22T18:28:07.838Z] Applied 30 fixes in total
[2025-05-22T18:28:07.839Z] Unified TypeScript Auto-Fix System completed
